Full Name,Short Code,BGA Cat,Exact point,Alt Feet ASL,Lat/Long to WGS84,Channel (MHz),Dist  NMl,Dir, from Main Feature,Grid ref E/N  km & 2 dec,Map,Photo
Whiteadder Reservoir,WHR,A,E end of B6355 Causeway,95,55 52.164N 002 34.035W,,22,E,Edinburgh,36460 66417,WHR,WHR
Whitstable,WHT,C,Station,289,51 21.458N 001 02.011E,,5,NNW,Canterbury,61130 16643,WHT,WHT
Whitchurch Shropshire West,WHW,C,A539/A525,223,52 57.823N 002 47.735W,,15,N,Shrewsbury,34666 34100,WHW,WHW
Whickham,WIC,C,A692/A6076,105,54 55.333N 001 40.564W,,5,SW,Newcastle,42086 55866,WIC,WIC
Wingham,WIG,C,Church Spire,276,51 16.329N 001 12.789E,,5,E,Canterbury,62422 15746,WIG,WIG
Wick West,WIK,A,Watten crossroads,70,58 28.281N 003 18.073W,,7,WSW,Wick,32420 95441,WIK,WIK
Wimbleball,WIM,C,Reservoir Causeway,351,51 04.539N 003 27.708W,,22,N,Exeter,29769 13172,WIM,WIM
Wincanton,WIN,C,Grandstand S side,371,51 03.943N 002 24.846W,,22,W,Salisbury,37108 12968,WIN,WIN
Wisbech,WIS,A,A1101/River Bridge,7,52 40.034N 000 09.571E,,15,ENE,Peterborough,54613 30991,WIS,WIS
Wilton West,WIW,A,A30/River,305,51 04.768N 001 56.023W,,5,W,Salisbury,40474 13113,WIW,WIW
Warkworth Bridge,WKB,A,A1068 bridge/ River Coquet,32,55 20.972N 001 36.578W,,22,N,Newcastle,42485 60624,WKB,WKB
Wickwar,WKW,C,Roundabout,275,51 35.345N 002 23.891W,,13,N,Bath,37251 18788,WKW,WKW
West Lomond Hill,WLD,C,Trig point,1713,56 14.730N 003 17.811W,,11,SSE,Perth,31973 70664,WLD,WLD
Willersley,WLL,B,A438/A4111,223,52 07.340N 003 00.052W,,12,WNW,Hereford,33157 24759,WLL,WLL
Wells,WLS,B,Cathedral Tower,151,51 12.616N 002 38.590W,,14,SW,Bath,35517 14587,WLS,WLS
Waternish Point,WLT,A,Lighthouse,33,57 36.464N 006 38.048W,,49,WSW,Ullapool,12331 86699,WLT,WLT
Worlingworth,WLW,D,T junction,197,52 15.654N 001 15.638E,,12,N,Ipswich,62261 26753,WLW,WLW
Woolley Down,WLY,C,A338 T junction,459,51 31.369N 001 25.508W,,9,NNW,Newbury,43998 18059,WLY,WLY
Wormingford East,WME,C,Reservoir,125,51 57.360N 000 52.617E,,12,WSW,Ipswich,59778 23252,WME,WME
Wormelow,WML,C#,Y-Junction,387,51 58.127N 002 44.444W,,20,WNW,Gloucester,34921 23029,WML,WML
Wormingford West,WMW,C,Y-junction,220,51 56.771N 000 42.843E,,17,WSW,Ipswich,58663 23100,WMW,WMW
Welshpool NE,WNE,A,River/rail Br,215,52 40.317N 003 06.912W,,13,WSW,Shrewsbury,32469 30883,WNE,WNE
Wantage Northwest,WNW,A,Rail/A417,249,51 36.766N 001 29.305W,,10,E,Swindon,43552 19056,WNW,WNW
Weston Finish Point,WO2,A##,M40 J9 with A34/A41,225,51 52.136N 001 11.929W,,6,N,Oxford,45526 21923,WO2,WO2
Woburn Abbey,WOB,B,Lake/Y Junct,348,51 59.002N 000 35.977W,,7,NNW,Dunstable,49627 23258,WOB,WOB
Worcester Racecourse,WOC,C,Grandstand SW,167,52 11.775N 002 13.999W,,0.2,W,Worcester,38415 25536,WOC,WOC
Woodall Services,WOD,A,M1 services,410,53 18.915N 001 16.940W,,14,SSW,Doncaster,44791 38005,WOD,WOD
Woore,WOE,D,A51/A525(S),253,52 58.633N 002 24.177W,,20,NNE,Shrewsbury,37304 34228,WOE,WOE
Weston-on-the-green,WOG,D##!,Grass Airfield,282,51 52.829N 001 13.189W,129.980,7,N,Oxford,45380 22050,WOG,WOG
Wooler East,WOL,C,Most N mast,66,55 31.907N 001 50.084W,,15,SSE,Berwick,41053 62646,WOL,WOL
Woburn,WOM,A#,M1 J13/A5140,305,52 01.589N 000 36.237W,,10,N,Dunstable,49588 23737,WOM,WOM
Walton on Naze Pier,WON,B,Pier entrance,20,51 50.799N 001 16.279E,,12,SSE,Ipswich,62542 22151,WON,WON
Wooler,WOO,C,A697/B6348,59,55 32.862N 002 00.721W,,13,S,Berwick,39934 62822,WOO,WOO
Worcester,WOR,A,M5 J6 /A449,157,52 12.759N 002 09.508W,,3,NE,Worcester,38927 25717,WOR,WOR
Wragby,WRA,C,A157/A158,79,53 17.251N 000 18.085W,,9,ENE,Lincoln,51333 37807,WRA,WRA
Workington,WRK,B,Bridge,30,54 38.950N 003 33.427W,,26,SW,Carlisle,29963 52934,WRK,WRK
Wormingford,WRM,C#,Hangar,236,51 56.646N 000 48.197E,129.980,15,WSW,Ipswich,59277 23100,WRM,WRM
Wroughton,WRO,A,R/W Intersection,643,51 30.402N 001 48.106W,,4,SSW,Swindon,41385 17866,WRO,WRO
Winslow,WSL,A,Rail Bridge/A413,381,51 56.908N 000 53.162W,,17,NE,Oxford,47666 22836,WSL,WSL
Wattisham,WSM,D##,R/W 23 Mid Point,284,52 07.646N 000 57.356E,125.800,8,NW,Ipswich,60243 25180,WSM,WSM
Waterbeach N,WTB,B#,Roundabout,15,52 17.849N 000 10.963E,,5,N,Cambridge,54894 26883,WTB,WTB
Worthing,WTH,B,A24/A27,62,50 50.331N 000 23.588W,,8,W,Brighton,51324 10560,WTH,WTH
Worthen,WTM,D,B4386 Crossroads,338,52 38.163N 002 59.672W,,8,SW,Shrewsbury,33279 30472,WTM,WTM
Watlington,WTN,B,B480/B4009 east,360,51 38.598N 001 00.384W,,12,SE,Oxford,46885 19430,WTN,WTN
Wast Water E,WWE,B,Bridge,246,54 27.409N 003 15.870W,,29,SW,Carlisle,31812 50756,WWE,WWE
Wast Water W,WWW,C,River Bridge,190,54 25.297N 003 20.697W,,32,SW,Carlisle,31283 50374,WWW,WWW
Wylye,WYL,A,A303/Rail Bridge,367,51 08.298N 001 59.997W,,8,WNW,Salisbury,40010 13767,WYL,WYL
Wymondham,WYM,C,Church Tower,148,52 34.210N 001 06.444E,,8,WSW,Norwich,61068 30146,WYM,WYM
Yate,YAT,A,M4 J18/A46,600,51 30.106N 002 21.020W,,7,N,Bath,37578 17815,YAT,YAT
Yeovil Reservoir,YEO,C,Road Causeway N end,213,50 54.039N 002 38.700W,,4,S,Yeovil,35474 11144,YEO,YEO
Yetholm,YET,A,River Bridge,331,55 32.761N 002 16.930W,,16,SW,Berwick,38229 62808,YET,YET
York East,YOE,A,Roundabout,33,53 57.414N 001 00.719W,,3,E,York,46493 45165,YOE,YOE
York,YOR,B,Minster Central Tower,260,53 57.728N 001 04.918W,,0,N/A,York,46033 45217,YOR,YOR
Yeovilton,YTN,C##,Control Tower,75,51 00.639N 002 38.467W,127.350,4,N,Yeovil,35512 12367,YTN,YTN
Yattendon,YTT,C,Road br over M4,395,51 27.553N 001 12.231W,,6,NE,Newbury,45541 17366,YTT,YTT
