Full Name,Short Code,BGA Cat,Exact point,Alt Feet ASL,Lat/Long to WGS84,Channel (MHz),Dist  NMl,Dir, from Main Feature,Grid ref E/N  km & 2 dec,Map,Photo
Gribbin Head,GBB,B,Tower,213,50 19.017N 004 40.383W,,22,W,Plymouth,20980 04975,GBB,GBB
Great Bedwyn,GBE,B,Bridge,394,51 22.711N 001 35.916W,,11,W,Newbury,42802 16446,GBE,GBE
Glasbury Bridge,GBR,A,A438 river Br,262,52 02.731N 003 11.840W,,18,W,Hereford,31798 23925,GBR,GBR
Gloucester Canal Bridge,GCB,C,A430 Bridge,36,51 51.522N 002 15.354W,,6,WSW,Cheltenham,38247 21782,GCB,GCB
Glen Dee Bridge,GDB,D,Dee Bridge,1339,56 58.583N 003 36.931W,,36,SE,Inverness,30190 78840,GDB,GDB
Glyndebourne,GDE,D,Opera House,131,50 52.681N 000 03.701E,,10,ENE,Brighton,54514 11075,GDE,GDE
Great Dun Fell,GDF,C,Relay station,2780,54 41.048N 002 27.052W,,20,SE,Carlisle,37103 53221,GDF,GDF
Gordon,GDN,A,A6105/A6089,540,55 40.810N 002 33.738W,,19,WSW,Berwick,36475 64308,GDN,GDN
Gretna Services,GES,A,Bridge,131,55 00.594N 003 05.268W,,8,NW,Carlisle,33053 56891,GES,GES
Glenfiddich Lodge,GFD,D,Bridge,1017,57 22.921N 003 08.487W,,20,SSE,Lossiemouth,33147 83297,GFD,GFD
Glenfarg Reservoir E,GFG,B,Tower,623,56 16.884N 003 26.376W,,7,S,Perth,31097 71081,GFG,GFG
Glen Falloch,GFL,A,A82/River,85,56 20.417N 004 43.230W,,25,ESE,Oban,23194 71976,GFL,GFL
Garsdale Head,GHD,A,Bridge,1017,54 19.686N 002 19.116W,,23,NE,Lancaster,37938 49255,GHD,GHD
Gillingham,GIL,B,Station/B3081 Bridge,249,51 02.101N 002 16.127W,,18,W,Salisbury,38125 12622,GIL,GIL
Giosla,GIO,A,Small Power Station,30,58 07.677N 006 52.683W,,18,WSW,Stornoway,11294 92584,GIO,GIO
Gisburn,GIS,A,A682 br over rail,490,53 56.336N 002 15.572W,,20,ESE,Lancaster,38306 44923,GIS,GIS
Glastonbury,GLA,C,T-Junction,187,51 08.885N 002 42.741W,,13,N,Yeovil,35027 13900,GLA,GLA
Gelt Bridge,GLB,A#,Rail Bridge,360,54 54.500N 002 43.851W,,7,E,Carlisle,35324 55731,GLB,GLB
Glendevon,GLE,D,Castle,138,56 13.849N 003 39.172W,,12,SW,Perth,29763 70548,GLE,GLE
Glenforsa,GLF,A,Airstrip Hotel,39,56 30.921N 005 54.903W,,16,WNW,Oban,15925 74279,GLF,GLF
Gleneagles,GLN,D,Hotel S side,115,56 16.966N 003 45.064W,,12,NE,Stirling,29169 71141,GLN,GLN
Gloucester South,GLS,A,Rail/M5 Bridge,112,51 48.251N 002 15.887W,,9,SW,Cheltenham,38184 21176,GLS,GLS
Glenlatterach Dam N,GLT,A,Dam wall,689,57 33.713N 003 20.880W,,10,S,Lossiemouth,31945 85322,GLT,GLT
Gairlochy,GLY,C,Lighthouse,522,56 55.028N 004 59.249W,,7,NE,Fort William,21824 78462,GLY,GLY
Grains,GNS,C#,B6276 Bridge,1171,54 34.908N 002 12.391W,,31,SE,Carlisle,38675 52075,GNS,GNS
Goole N,GO2,A,M62 J37,30,53 44.056N 000 51.971W,,15,NNE,Doncaster,47489 42703,GO2,GO2
Goole NE,GOO,A,M62/Rail Bridge,16,53 45.201N 000 46.309W,,16,SE,York,48108 42925,GOO,GOO
